Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Provoked,USA,Fishing,M,35,N,"Bull shark, 4' to bull shark"
Unprovoked,AUSTRALIA,Surfing,M,15,N,"Bronze whaler shark, a  juvenile "
Unprovoked,SOUTH AFRICA,Body boarding,M,15,N,"Raggedtooth shark, 2.5 m to 3 m "
Unprovoked,BRAZIL,Swimming,M,35,N,Tiger shark
Unprovoked,Sierra Leone,Fishing,M,27,Y,"3 m, 600-kg shark"
Unprovoked,USA,Surfing,F,28,N,"Tiger shark, 10'  "
Unprovoked,FIJI,Surfing,M,21,N,"Tiger shark, 5' "
Unprovoked,AUSTRALIA,Surfing,M,15,N,"Bronze whaler shark, 2 m"
Unprovoked,USA,Standing,F,15,N,5' to 7' shark
Boating,AUSTRALIA,Fishing,M,27,N,4.5 m white shark
Unprovoked,SOUTH AFRICA,Surfing,M,15,N,Raggedtooth shark
Unprovoked,TONGA,Swimming,F,24,Y,Tiger shark
Boating,USA,Kayaking,M,57,N,12' to 18' shark
Boating,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,M,46,N,12' shark
Unprovoked,AUSTRALIA,Scuba diving,M,52,N,3.5 m white shark
Unprovoked,AUSTRALIA,Swimming,F,21,Y,Bull shark
Unprovoked,USA,Surfing,M,21,N,4' shark
Unprovoked,SOUTH AFRICA,Diving for crayfish,M,49,N,Said to involve a 1.5 m shark
Unprovoked,USA,Surfing,M,30,N,White shark
Unprovoked,USA,Swimming,M,29,N,Tiger shark
Boating,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,M,27,N,3 m shark
Unprovoked,AUSTRALIA,Spearfishing,M,44,N,Whitetip reef shark
Boat,AUSTRALIA,Fishing,M,27,N,4 m white shark
Unprovoked,USA,Surfing,M,23,N,4' shark
Boat,AUSTRALIA,Fishing,M,27,N,3 m white shark
Unprovoked,AUSTRALIA,Surfing,M,18,N,1.8 m shark
Unprovoked,USA,Surfing,M,30,N,4' shark
Boat,NEW CALEDONIA,other,M,27,N,4.5 m white shark
Provoked,SOUTH AFRICA,Fishing for sharks,M,32,N,"Raggedtooth shark, 2.5m "
Unprovoked,USA,Surfing,M,18,N,6' shark
Unprovoked,USA,Surfing,M,26,N,12' to 14' white shark
Unprovoked,USA,Wading,M,15,N,2' to 3' shark
Unprovoked,ST. MAARTIN,Standing,M,55,N,2' shark
Unprovoked,SOUTH AFRICA,Standing / Surfing,M,20,N,3 m shark
Unprovoked,USA,Surfing,M,36,N,White shark
Unprovoked,USA,Surfing,F,20,N,18' white shark
Unprovoked,USA,Surfing,M,22,N,"Tiger shark, less than 10'"
Unprovoked,GRAND CAYMAN,Scuba diving,F,57,N,Caribbean reef sharks
Unprovoked,SOUTH AFRICA,Surf-skiing,M,52,N,White shark
Unprovoked,AUSTRALIA,Surfing,M,28,N,"Tiger shark, 3 m "
Unprovoked,AUSTRALIA,Surfing,M,26,N,14' to 16' white shark
Unprovoked,AUSTRALIA,Surfing,M,44,N,Bronze whaler shark
Unprovoked,USA,Body surfing,F,68,N,3' to 4' shark
Unprovoked,USA,Wading,F,18,N,Bull shark
Unprovoked,AUSTRALIA,Surfing,M,40,N,4 m [13'] white shark
Provoked,THAILAND,Removing shark from net,M,21,Y,"2 m [6.75'] shark, 200-kg shark T"
Unprovoked,AUSTRALIA,Scuba diving,M,23,Y,White shark
Unprovoked,USA,Surfing,M,37,N,juvenile white shark
Unprovoked,USA,Swimming,M,8,N,Possibly a sandbar shark or small blacktip shark
Unprovoked,USA,Surfing,M,16,N,1.8 m [6'] shark
Provoked,CHINA,Scuba diving in aquarium tank,M,24,N,3.5 m [11.5']shark
Unprovoked,USA,Swimming,M,22,N,[4.5' to 5'] shark
Unprovoked,USA,Holding onto an inflatable boat,F,14,N,[4' to 5']
Unprovoked,USA,Fishing,M,16,N,Bull shark
Unprovoked,USA,Swimming with boogie board,F,14,Y,1.8 m [6'] bull shark
Unprovoked,VANUATU,Swimming,F,7,Y,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
Unprovoked,USA,Swimming,M,20,N,"Unknown, but it was reported that a shark tooth was recovered from the wound"
Unprovoked,SOUTH KOREA,Diving,F,38,N,3 m [10'] white shark
Unprovoked,SOUTH AFRICA,Spearfishing (Free diving),M,22,Y,White shark
Unprovoked,USA,Swimming,M,33,N,"""small shark"""
Unprovoked,USA,Crouching in 2' of water,F,27,N,"18"" to 36"" shark"
Unprovoked,SOUTH AFRICA,Surfing,M,32,N,Raggedtooth shark
Unprovoked,AUSTRALIA,Spearfishing,M,27,N,Blacktip shark
Boating,USA,Kayaking,M,27,N,"Tiger shark, 8' to 9' "
Unprovoked,MADAGASCAR,Fishing,M,27,N,2.5 m shark
Unprovoked,USA,Surfing,M,47,N,"Tiger shark, 3 m [10']"
Provoked,AUSTRALIA,Fishing,M,25,N,"Mako shark, 1.5 m [5'] "
Unprovoked,AUSTRALIA,Spearfishing,M,20,N,2 m [6.75'] copper shark
Unprovoked,AUSTRALIA,Surfing,M,40,N,Bronze whaler shark
Unprovoked,USA,Wading,F,70,N,1.8 m [6'] blacktip shark
Unprovoked,USA,other,F,27,N,small hammerhead shark
Unprovoked,SOUTH AFRICA,Surfing,M,32,N,4 m [13'] shark
Unprovoked,AUSTRALIA,Snorkeling,M,26,Y,6 m [20'] white shark
Provoked,USA,Diving in aquarium display tank,M,45,N,"Sandtiger shark, 2.1 m [7'] "
Provoked,NEW ZEALAND,Fishing,M,27,N,"Bronze whaler shark, 4.3 m [14'] "
Unprovoked,AUSTRALIA,Swimming,M,18,N,Bull shark
Provoked,USA,Spearfishing,M,27,N,"Nurse shark, 3' "
Unprovoked,USA,Surfing,M,27,N,"Tiger shark, 2.4 m [8']"
Unprovoked,USA,Spearfishing,M,27,N,1.8 m [6'] Caribbean reef shark
Unprovoked,CUBA,Swimming,M,19,N,3 m [10'] shark
Provoked,AUSTRALIA,Spearfishing,M,27,N,3 m shark
Provoked,AUSTRALIA,Attempting to drive shark away from sailing regatta,M,27,N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  "
Boating,NEW ZEALAND,Fishing from a kayak,M,39,N,White shark
Unprovoked,AUSTRALIA,Scurfing (surfboard being  towed behind a boat),M,18,Y,4.5 m & 5 m white shark 
Unprovoked,AUSTRALIA,Spearfishing,M,38,Y,Bull shark
Unprovoked,SOUTH AFRICA,Surfing,M,20,N,Raggedtooth shark
Unprovoked,SOUTH AFRICA,Playing,M,16,N,Raggedtooth shark
Unprovoked,SOUTH AFRICA,Swimming,F,77,Y,6 m [20'] white shark
Unprovoked,NEW CALEDONIA,Diving,M,27,N,3 m shark
Unprovoked,CUBA,Diving,M,40,N,2.5 m [8.25'] bull shark
Unprovoked,SOUTH AFRICA,Chumming for white sharks,M,52,N,2 m [6.75'] white shark
Unprovoked,AUSTRALIA,Surfing,M,59,N,"Bronze whaler shark, 2.4 m [8'] "
Unprovoked,USA,Surfing,M,27,N,1.8 m to 2.4 m [6' to 8'] white shark
Unprovoked,USA,Spearfishing,M,34,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] "
Unprovoked,SOUTH AFRICA,Surfing,M,34,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']"
Unprovoked,REUNION,Body boarding,M,15,N,Thought to involve a 2.5 m bull or tiger shark
Boat,AUSTRALIA,Spearfishing/ filming,M,27,N,"Tiger shark, 3 m [10'] "
Unprovoked,USA,Surfing,M,26,N,White shark
Unprovoked,USA,Jumping,F,17,N,2.4 m [8'] shark
Unprovoked,BRAZIL,Bathing,M,24,N,"Tiger shark, 1.5 m "
Unprovoked,USA,Surfing,M,27,N,0.9 m to 1.2 m [3' to 4'] white shark
Unprovoked,USA,Diving,M,50,Y,4.9 m to 5.5 m [16' to 18'] white shark
Unprovoked,USA,Swimming,M,47,N,1.2 m [4'] shark
Boat,SOUTH AFRICA,Fishing,M,27,N,3 m to 4 m [10' to 13']  white shark
Unprovoked,RUSSIA,Diving & fishing with net,M,27,N,White shark
Unprovoked,USA,Swimming,F,13,N,1.8 m [6'] shark
Unprovoked,USA,Swimming,F,19,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Wading / fishing & carrying a bag of fish,M,11,N,Bull shark
Boating,AUSTRALIA,Fishing,M,27,N,4 m [13'] white shark
Unprovoked,JAPAN,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] "
Unprovoked,AUSTRALIA,Surfing,M,30,Y,"2 sharks, 4.5 m & 3 m "
Unprovoked,EGYPT,Snorkeling,F,27,N,"""black tipped"" shark"
Unprovoked,USA,Wading,M,7,N,4' to 5' shark
Unprovoked,USA,Surfing,M,45,N,"9'2"" white shark"
Unprovoked,AUSTRALIA,Body boarding,M,17,N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,USA,Swimming,M,8,N,1.2 m [4'] shark
Unprovoked,SOUTH AFRICA,"Swimming, poaching perlemoen",M,21,Y,White shark
Unprovoked,USA,Wading,M,16,N,0.9 m to 1.5 m [3' to 5'] shark
Unprovoked,BRAZIL,Swimming,M,17,N,Bull shark
Unprovoked,USA,Surfing,M,44,N,2.4 m to 3.7 m [8' to 12'] shark
Provoked,BAHAMAS,Free diving & spearfishing,M,63,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
Unprovoked,USA,Tandem surfing,M,28,N,"Mako shark, 1.8 m [6']"
Unprovoked,AUSTRALIA,Diving,M,27,N,"Wobbegong shark, 1.2 m [4'] k"
Boat,NEW ZEALAND,Fishing,M,27,N,"White shark, 5.5 m [18']"
Unprovoked, TONGA,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,27,Y,small sharks
Invalid, TONGA,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,27,Y,Questionable Incident
Unprovoked,USA,Surfing,M,57,Y,Tiger shark
Unprovoked,SOUTH AFRICA,Surfing,M,16,N,5 m [16.5'] white shark
Unprovoked,USA,Surfing,M,20,N,1.2 m [4'] bull shark
Unprovoked,BRAZIL,Body boarding,M,22,N,bull shark
Unprovoked,USA,Surfing,M,27,N,bull shark
Unprovoked,REUNION,Surfing,M,20,N,2.5 m shark
Unprovoked,USA,Snorkeling,F,27,N,1.8 m [6'] shark
Unprovoked,NEW ZEALAND,Spearfishing,M,27,N,Bronze whaler shark
Unprovoked,USA,Surfing,M,51,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,AUSTRALIA,Spearfishing,M,47,N,"Bronze whaler shark, 1.5 m [5'] "
Unprovoked,NEW ZEALAND,Surfing,M,15,N,2 m [6.75'] sevengill  shark
Unprovoked,AUSTRALIA,Snorkeling,M,22,N,"60 cm [23.6""] blind or brown shark"
Unprovoked,AUSTRALIA,Scuba diving,M,46,N,4 m to 5 m [13' to 16.5'] white shark
Unprovoked,URUGUAY,Surfing,M,21,N,Possibily a  1.5 to 2 m sandtiger shark
Unprovoked,VENEZUELA,Swimming,M,27,N,"Bull shark, 1.65 m [5'5""] was speared & killed"
Unprovoked,VENEZUELA,Spearfishing,M,40,N,"Bull shark, 132-kg [291-lb] "
Boating,SOUTH AFRICA,Surf skiing,M,27,N,"Mako shark, 3 m to 4 m [10' to 13'] "
Unprovoked,AUSTRALIA,Diving,M,27,N,"Raggedtooth shark, 3.5 m [11.5'] "
Unprovoked,SOUTH AFRICA,Surfing,M,22,N,Raggedtooth shark
Boating,SOUTH AFRICA,other,M,27,N,Shortfin mako shark
Unprovoked,AUSTRALIA,Swimming,M,27,N,"Wobbegong shark, 1.2 m [4'] "
Unprovoked,AUSTRALIA,Swimming,M,27,N,"Wobbegong shark, 1.2 m [4'] "
Unprovoked,SOUTH AFRICA,Spearfishing,M,21,Y,"Tiger shark, 4 m [13']  ?"
Unprovoked,USA,Surfing,F,35,N,4' shark
Unprovoked,INDIA,Swimming or surfing,M,35,N,Tiger shark?
Unprovoked,EGYPT,Snorkeling,M,27,N,2.5 oceanic whitetip shark
Unprovoked,SOUTH AFRICA,Surf skiing,M,27,N,White shark
Provoked,PANAMA,Spearfishing,M,27,N,"Nurse shark, 60 cm to 90 cm [2' to 3'] "
Unprovoked,USA,Surfing,M,18,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,AUSTRALIA,Surfing,M,22,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
Unprovoked,USA,Surfing,F,13,N,"Tiger shark, 14' "
Unprovoked,USA,Surfing,M,19,N,1.2 m [4'] shark
Invalid,USA,Swimming to shore from boat or kayak,M,27,Y,Shark involvement prior to death was not confirmed
Unprovoked,USA,Wading near a fishing net,F,41,N,"1.2 m [4'] ""grey-colored shark"""
Unprovoked,USA,Surfing,M,30,N,3' shark
Boat,SOUTH AFRICA,Fishing ,M,36,N,2 m cow shark
Unprovoked,USA,Body boarding,M,18,N,6' shark
Unprovoked,USA,"Standing, stepped on shark",M,15,N,7' shark
Unprovoked,SOUTH AFRICA,Body boarding,M,19,Y,White shark
Provoked,USA,Fishing,M,27,N,1.2 m [4'] bull shark
Unprovoked,USA,"Swimming, wearing black wetsuit & swim fins",F,50,Y,4.5 m to 5.5 m [15' to 18'] white shark
Unprovoked,SOUTH AFRICA,Sitting on surfboard,M,16,N,3.5 m [11.5'] white shark
Unprovoked,BAHAMAS,Spearfishing,M,58,N,Unidentified species
Provoked,USA,"Walking, carrying surfboard & stepped on shark",M,10,N,2' shark
Unprovoked,USA,Surfing,M,21,N,1.5 m to 1.8 m [5' to 6'] shark
Unprovoked,BAHAMAS,Spearfishing,M,39,N,2.1 m  [7'] bull shark
Unprovoked,USA,Spearfishing,M,27,N,8' great hammerhead shark
Unprovoked,NEW ZEALAND,Snorkeling,M,27,N,Grey reef shark
Unprovoked,USA,Surfing,M,17,N,Unidentified species
Unprovoked,USA,Surfing,M,15,N,106 cm [3.5']  shark
Unprovoked,USA,Standing,F,12,N,small brown shark
Unprovoked,USA,Swimming with pod of dolphins,M,60,N,3.7 m to 4.3 m [12' to 14'] shark
Unprovoked,USA,Swimming,M,51,N,Unidentified species
Unprovoked,USA,Surfing ,M,33,N,"""sand shark"""
Unprovoked,USA,Wading,M,22,N,3' to 5' shark
Unprovoked,USA,Swimming,M,20,N,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
Provoked,USA,Surfing,M,34,N,4' to 5' shark
Unprovoked,PHILIPPINES,other,M,27,N,White shark
Unprovoked,BRAZIL,Surfing,M,17,N,Bull shark
Unprovoked,USA,Surfing,M,36,N,Unidentified species
Unprovoked,USA,Surfing,M,17,N,Unidentified species
Unprovoked,USA,Surfing,M,30,N,Unidentified species
Unprovoked,USA,Surfing,M,23,N,0.9 m to 1.2 m [3' to 4'] shark
Unprovoked,USA,Surfing,M,18,N,Unidentified species
Unprovoked,USA,Jumping,M,11,N,A small shark
Unprovoked,USA,Surfing,M,12,N,Unidentified species
Unprovoked,USA,Swimming (using a float),M,20,N,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
Unprovoked,VENEZUELA,Surfing,M,28,N,"Mako shark, 3 m [10']"
Unprovoked,USA,Surfing,M,50,N,4' to 5' shark
Provoked,USA,Petting captive sharks,F,27,N,60 cm [2'] captive shark
Unprovoked,NEW ZEALAND,Scuba diving,M,44,N,2.5 m [8.25'] white shark
Unprovoked,AUSTRALIA,Wading,M,37,N,"""a small shark"""
Unprovoked,USA,Swimming,M,54,N,Species unidentified
Unprovoked,AUSTRALIA,Swimming,M,24,N,Thought to involve a 2 m [6.75'] grey nurse shark
Unprovoked,AUSTRALIA,Swimming,M,84,Y,Thought to involve a >2 m [6.75'] bull shark
Unprovoked,COSTA RICA,Surfing,M,27,N,"Bull shark, 7'"
Unprovoked,AUSTRALIA,Surfing,F,27,N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,AUSTRALIA,Snorkeling,F,18,N,Reported to involve a hammerhead shark
Unprovoked,SOUTH AFRICA,Snorkeling,M,25,N,"White shark, 4 m white shark"
Unprovoked,AUSTRALIA,Scuba diving,M,26,N,"Wobbegong shark, 1m"
Unprovoked,AUSTRALIA,Swimming,M,23,Y,Bull shark
Unprovoked,MICRONESIA,Scuba diving,M,27,N,Blacktip shark
Unprovoked,USA,Body boarding,M,48,N,3 m to 4.5 m [10' to 15'] white shark
Unprovoked,USA,Swimming,F,34,N,2.4 m to 3 m [8' to 10'] grey colored shark
Unprovoked,TURKS & CAICOS,Snorkeling,F,41,N,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark 
Unprovoked,USA,Surfing,M,21,N,6' shark
Unprovoked,USA,Boogie boarding,M,16,N,3' to 4' shark
Unprovoked,USA,Swimming,F,60,N,A small shark
Unprovoked,BRAZIL,Swimming,M,36,Y,Possibly a bull shark or tiger shark
Unprovoked,USA,Surfing,M,14,N,Blacktip or spinner shark
Unprovoked,USA,Surfing,M,35,N,3.5' to 4.5' shark
Unprovoked,USA,Surfing,M,18,N,3.5' to 4' shark
Unprovoked,USA,Surfing,M,47,N,4' to 5' shark
Unprovoked,USA,Fishing from Surfboard,M,55,N,1.2 m [4'] blacktip shark
Provoked,USA,Fishing,M,27,N,1.8 m [6'] blacktip shark
Provoked,TONGA,Swimming,M,27,N,"Tiger shark, 1.5 m [5']k"
Unprovoked,USA,Boogie boarding or Surfing,M,24,N,2.4 m [8'] shark
Unprovoked,USA,Surfing,M,35,N,3 m to 3.7 m [10' to 12'] shark
Unprovoked,BRAZIL,Swimming,M,19,N,Bull or tiger shark
Unprovoked,SOUTH AFRICA,Surf skiing,M,47,N,White shark
Unprovoked,USA,Boogie boarding,M,20,N,4' to 6' shark
Provoked,USA,"Wading, when he stepped on the shark",M,36,N,1' to 2' hammerhead or bonnethed shark
Unprovoked,USA,Surfing,M,16,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,USA,Surfing,M,27,N,0.9 m  to 1.2 m [3' to 4'] shark
Unprovoked,USA,Surfing,M,15,N,"Nurse shark, 1.5 m [5'] "
Provoked,UNITED KINGDOM,Diving,M,30,N,"Sandtiger shark, 3 m [10'] "
Unprovoked,USA,Standing,M,14,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Surfing,M,13,N,1.2 m [4'] blacktip or sandbar shark
Unprovoked,USA,Swimming,F,15,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
Provoked,USA,Shark Fishing,M,41,Y,"Mako shark, 400-lb "
Unprovoked,BRAZIL,Surfing,M,22,N,Bull or tiger shark
Unprovoked,USA,Standing,F,9,N,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
Unprovoked,USA,Sitting on surfboard,M,27,N,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  "
Unprovoked,USA,Surfing,M,28,N,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
Unprovoked,USA,Surfing,M,50,N,  
Unprovoked,SOUTH AFRICA,Snorkeling (filming the sardine run),M,50,N,1.5 to 2.5 m [5' to 8.25'] copper shark
Unprovoked,USA,Surfing,M,24,N,3.7 m to 4.3 m [12' to 14'] white shark
Unprovoked,USA,Floating on a raft,M,16,N,1 m  shark
Provoked,USA,"Fishing, removing the shark from his line",M,55,N,3' blacktip shark
Unprovoked,COSTA RICA,Surfing,M,27,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
Unprovoked,USA,Fishing,M,31,N,2.1 m to 2.4 m [7' to 8'] shark
Unprovoked,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,M,23,Y,"White shark, 6m [20']"
Unprovoked,USA,"Surfing, but standing in water alongside board",M,34,N,1.2 m [4'] shark
Unprovoked,BAHAMAS,Standing,M,43,N,"Bull shark, 400-lb "
Unprovoked,USA,Wading,M,41,N,3'  shark
Unprovoked,USA,Swimming / Wading,M,29,N,0.9 m [3'] shark
Unprovoked,USA,Body-boarding,M,17,N,Tiger shark
Unprovoked,USA,Wading,F,11,N,  
Unprovoked,USA,Swimming /  boogie boarding,M,20,N,4' shark
Unprovoked,USA,Snorkeling,M,39,N,"Nurse shark, 1m "
Unprovoked,USA,Surfing,M,31,N,"Spinner shark, 3' to 4' "
Unprovoked,AUSTRALIA,Surfing,M,30,N,"1.5 m [5'] ""whaler shark"""
Boating,AUSTRALIA,Kayaking,M,35,N,C. leucas tooth fragment recovered from kayak
Unprovoked,AUSTRALIA,Surfing,M,20,N,"Tiger shark, 3 m [10']"
Unprovoked,SOUTH AFRICA,Fishing,M,16,N,Zambesi shark?
Unprovoked,SOUTH AFRICA,Surf skiing,M,26,N,Unidentified
Unprovoked,USA,Snorkeling,M,35,N,"Tiger shark, 1.8 m [6'] "
Unprovoked,AUSTRALIA,Surfing,M,49,N,Bronze whaler shark
Unprovoked,SOUTH AFRICA,Kite-Boarding,M,27,N,"Mako shark, 2 m [6.75'] "
Unprovoked,AUSTRALIA,Snorkeling,F,20,N,Bronze whaler shark?
Unprovoked,MEXICO,Body surfing,M,26,N,"Tiger shark, 1.8 m [6']"
Boat,AUSTRALIA,other,M,31,N,4 m [13'] white shark
Provoked,USA,"Surfing, fell off surfboard & stepped on the shark.",M,21,N,4' shark
Invalid,USA,Wreck / Technical diving,M,42,Y,Questionable incident - shark bite may have precipitated drowning
Unprovoked,USA,Boogie boarding,M,27,N,2' to 3.5' shark
Provoked,UNITED KINGDOM,Diving,M,27,N,12' sandtiger shark
Invalid,USA,Swimming,F,27,N,Shark involvement not confirmed
Unprovoked,USA,Swimming ,M,28,Y,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
Unprovoked,USA,Swimming,F,23,N,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
Unprovoked,USA,Wading,M,20,N,1.5 m [5'] shark
Unprovoked,USA,Swimming ,M,10,Y,bull shark
Unprovoked,BAHAMAS,Spearfishing,M,44,N,3 m [10'] bull shark
Unprovoked,USA,Surfing,M,17,N,a small shark
Unprovoked,USA,Surfing,M,20,N,Possibly  a blacktip or spinner shark
Unprovoked,USA,Surfing,M,19,N,"3' shark, possibly  a blacktip or spinner shark"
Unprovoked,USA,Surfing,M,19,N,"Blacktip shark, 5' to 6' "
Unprovoked,BAHAMAS,Spearfishing,M,43,N,1.9 m [6.5'] bull shark
Unprovoked,THAILAND,Fell off banana boat,M,21,N,3 m [10'] shark
Unprovoked,USA,other,F,27,N,Nurse shark
Boating,USA,Fishing,M,27,N,"Mako shark, 14' "
Unprovoked,USA,Boogie boarding,M,18,N,0.9 m  [3'] shark
Unprovoked,USA,Swimming,M,8,N,"Bull shark, 2.3 m [7.5'] "
Unprovoked,USA,Swimming,M,14,N,1.5 m [5'] shark
Provoked,USA,Spearfishing,M,52,N,"White shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,USA,Wading,F,29,N,2' shark
Unprovoked,USA,Swimming,M,11,N,1.2 m to 1.5 m [4.5' to 5'] shark
Unprovoked,SOUTH AFRICA,Surfing,M,26,N,"White shark, 2.7 m to 3 m [9' to 10'] "
Unprovoked,USA,Surfing,M,45,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Surfing,M,12,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,USA,Surfing,M,21,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,USA,Body boarding,M,12,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,USA,Surfing,M,22,N,Possibly a 1.5 m [5'] blacktip or spinner shark
Unprovoked,USA,Surfing,M,19,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,USA,Surfing,M,27,N,"1 m shark, possibly whitetip reef shark"
Unprovoked,USA,Surfing,M,16,N,Possibly a juvenile blacktip or spinner shark
Unprovoked,SOUTH AFRICA,Surfing,M,46,N,"White shark, 2.7 m [9'] "
Provoked,AUSTRALIA,Snorkeling,M,27,N,Wobbegong shark
Unprovoked,USA,Standing alongside surfboard,M,26,N,"""small shark"""
Unprovoked,AUSTRALIA,Surfing,M,40,N,Bronze whaler shark
Unprovoked,USA,Surfing,M,27,N,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] "
Sea Disaster,CARIBBEAN SEA,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,M,27,Y,"Tiger shark, 8' "
Boating,AUSTRALIA,Fishing for whiting,M,27,N,"White shark, 5 m [16.5'] "
Unprovoked,AUSTRALIA,Surfing,M,40,N,"Bronze whaler shark, 2.5 m [8.25']  k"
Boating,AUSTRALIA,Kayaking,M,35,N,5 m shark
Unprovoked,CUBA,Swimming,F,55,N,2 m [6.75'] shark
Boating,AUSTRALIA,Fishing,M,27,N,"White shark, 4.3 m [14'] "
Unprovoked,USA,Surfing,M,27,N,"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""
Boating,NEW ZEALAND,Kayaking,M,27,N,White shark
Unprovoked,FIJI,Swimming back from anchored sailboat,M,47,Y,6 m [20'] shark
Boating,AUSTRALIA,Fishing for whiting,M,27,N,"White shark, 4.5 m [14'9""] "
Unprovoked,CANADA,Diving for sea urchins,M,30,N,"Porbeagle shark, 3 m [10']rk"
Unprovoked,AUSTRALIA,Spearfishing,M,38,N,"Bronze whaler shark, 2.5 m [8.25'] "
Unprovoked,AUSTRALIA,Diving (shell maintenance),M,28,N,"Tiger shark, 4 m "
Unprovoked,USA,Swimming,M,73,N,1.2 m to 1.8 m [4' to 6'] shark
Unprovoked,AUSTRALIA,Swimming,M,52,N,"White shark, 4.9 m [16'] "
Unprovoked,AUSTRALIA,Swimming,M,49,Y,"White shark, 5 m [16.5'] "
Unprovoked,USA,Surfing,M,27,N,"White shark, 2.4 m to 3 m [8' to 10'] "
Boat,AUSTRALIA,Fishing ,M,31,N,White shark
Unprovoked,USA,Swimming / snorkeling,F,56,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
Unprovoked,USA,Surfing,M,17,N,2.1 to 2.4 m [7' to 8'] shark
Unprovoked,USA,Surfing,M,23,N,"Blacktip shark, 2' "
Unprovoked,USA,Sitting on surfboard,M,27,N,"White shark, 4.3 m [14']"
Unprovoked,AUSTRALIA,Surfing,M,17,Y,White shark
Unprovoked,AUSTRALIA,Surfing,M,25,Y,"White shark, 4 m to 5 m [13' to 16.5'] "
Provoked,AUSTRALIA,Fell onto dead shark,M,12,N,100-kg [221-lb] dead blue shark
Unprovoked,OKINAWA,Surfing,M,31,Y,"White shark, 2.5 m "
Unprovoked,USA,Swimming / Body surfing,M,25,N,60 cm to 90 cm [2' to 3'] shark
Unprovoked,SOUTH AFRICA,Free diving,M,48,N,"White shark, 3.5 m [11.5']  male "
Unprovoked,TANZANIA,Swimming,M,28,Y,Thought to involve a Zambesi shark
Unprovoked,USA,Wading,M,40,N,1.5 m [5'] shark
Unprovoked,REUNION,Surfing,M,27,N,"Tiger shark, 3 m [10'] "
Unprovoked,TANZANIA,Swimming,M,27,Y,Thought to involve a Zambesi shark
Unprovoked,USA,Swimming,M,47,N,A 2' shark was seen in the area by witnesses
Unprovoked,USA,Jumped into the water,M,69,Y,"Thought to involve a 2.7 m [9'], 400-lb bull shark"
Provoked,USA,Conducting research,M,27,N,Salmon shark
Unprovoked,USA,"Windsurfing, but sitting on his board",M,53,N,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  "
Unprovoked,USA,Surfing / Wading,M,27,N,juvenile shark
Unprovoked,USA,Standing,F,44,N,"Blacktip shark, 2.4 m to 3 m [8' to 10'] "
Unprovoked,TANZANIA,Swimming,M,27,Y,Thought to involve a Zambesi shark
